                   x                   y                   u                   w                 rho                   T                   p                  mu                 mut                  yp                   k                 eps                  v2                  om                nuSA              alphat                 Prt                  kt                epst                 Pkt               qwall                ttau               twall                tauw                utau               yplus               tplus               uplus               resKt               resEt
   0.0000000000E+000   0.9001432459E-001   0.0000000000E+000   0.1684886614E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7126682788E-001   0.0000000000E+000   0.7141843360E+000   0.6480143240E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7125646958E-001   0.5000726832E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.3068049367E+003                 NaN   0.2033838057E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.9974163235E-001   0.0000000000E+000   0.1683637331E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7140443160E-001   0.0000000000E+000   0.7239043169E+000   0.6644460005E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7139407327E-001   0.5000725433E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.3035253400E+003                 NaN   0.2032330039E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.1095068171E+000   0.0000000000E+000   0.1682257090E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7156236426E-001   0.0000000000E+000   0.7345922711E+000   0.6826494890E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7155200590E-001   0.5000723835E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.3002329729E+003                 NaN   0.2030663940E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.1193070323E+000   0.0000000000E+000   0.1680745798E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7174147878E-001   0.0000000000E+000   0.7462341421E+000   0.7026400664E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7173112038E-001   0.5000722030E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2969287952E+003                 NaN   0.2028839650E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.1291393886E+000   0.0000000000E+000   0.1679103640E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7194236139E-001   0.0000000000E+000   0.7588125403E+000   0.7244304102E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7193200294E-001   0.5000720017E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2936137809E+003                 NaN   0.2026857390E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.1390009580E+000   0.0000000000E+000   0.1677331078E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7216529892E-001   0.0000000000E+000   0.7723068745E+000   0.7480305359E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7215494042E-001   0.5000717796E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2902889174E+003                 NaN   0.2024717718E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.1488887764E+000   0.0000000000E+000   0.1675428845E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7241025898E-001   0.0000000000E+000   0.7866935326E+000   0.7734477951E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7239990043E-001   0.5000715371E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2869552040E+003                 NaN   0.2022421520E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.1587998476E+000   0.0000000000E+000   0.1673397938E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7267688258E-001   0.0000000000E+000   0.8019461069E+000   0.8006869359E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7266652397E-001   0.5000712750E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2836136507E+003                 NaN   0.2019969998E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.1687311468E+000   0.0000000000E+000   0.1671239600E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7296448844E-001   0.0000000000E+000   0.8180356578E+000   0.8297502231E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7295412976E-001   0.5000709944E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2802652776E+003                 NaN   0.2017364654E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.1786796241E+000   0.0000000000E+000   0.1668955309E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7327208742E-001   0.0000000000E+000   0.8349310066E+000   0.8606376138E+000   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7326172868E-001   0.5000706968E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2769111127E+003                 NaN   0.2014607270E+002   0.0000000000E+000   0.0000000000E+000
