    1.0000000000e+00	    1.0000000000e+00	    1.0000000000e+00	    1.0000000000e+00	    1.0000000000e+00	    0.0000000000e+00        0.0000000000e+00
    1.0013006500e+00	    9.9867950567e-01	    1.0015406759e+00	    1.0017813168e+00	    1.0000983870e+00	    4.3998780656e-04        4.3998780656e-04
    1.0026013000e+00	    9.9736258951e-01	    1.0030816993e+00	    1.0035644963e+00	    1.0001978390e+00	    8.8001658891e-04        8.8001658891e-04
    1.0039019500e+00	    9.9604923771e-01	    1.0046230701e+00	    1.0053495274e+00	    1.0002983458e+00	    1.3200897617e-03        1.3200897617e-03
    1.0052026020e+00	    9.9473943649e-01	    1.0061647768e+00	    1.0071364073e+00	    1.0003998874e+00	    1.7602073249e-03        1.7602073249e-03
    1.0065032520e+00	    9.9343316517e-01	    1.0077068251e+00	    1.0089251333e+00	    1.0005024535e+00	    2.2003726933e-03        2.2003726933e-03
    1.0078039020e+00	    9.9213041456e-01	    1.0092492092e+00	    1.0107156913e+00	    1.0006060392e+00	    2.6405790374e-03        2.6405790374e-03
    1.0091045520e+00	    9.9083116626e-01	    1.0107919234e+00	    1.0125080843e+00	    1.0007106294e+00	    3.0808331866e-03        3.0808331866e-03
    1.0104052020e+00	    9.8953540880e-01	    1.0123349677e+00	    1.0143023009e+00	    1.0008162088e+00	    3.5211351409e-03        3.5211351409e-03
    1.0117058520e+00	    9.8824312378e-01	    1.0138783420e+00	    1.0160983385e+00	    1.0009227673e+00	    3.9614814856e-03        3.9614814856e-03
    1.0130065040e+00	    9.8695429742e-01	    1.0154220406e+00	    1.0178961886e+00	    1.0010303000e+00	    4.4018756354e-03        4.4018756354e-03
    1.0143071540e+00	    9.8566891363e-01	    1.0169660635e+00	    1.0196958513e+00	    1.0011387917e+00	    4.8423175904e-03        4.8423175904e-03
    1.0156078040e+00	    9.8438696321e-01	    1.0185104048e+00	    1.0214973154e+00	    1.0012482323e+00	    5.2828073504e-03        5.2828073504e-03
    1.0169084540e+00	    9.8310842549e-01	    1.0200550588e+00	    1.0233005782e+00	    1.0013586066e+00	    5.7233449155e-03        5.7233449155e-03
    1.0182091040e+00	    9.8183329127e-01	    1.0216000313e+00	    1.0251056312e+00	    1.0014699096e+00	    6.1639302857e-03        6.1639302857e-03
    1.0195097540e+00	    9.8056154446e-01	    1.0231453165e+00	    1.0269124744e+00	    1.0015821363e+00	    6.6045668756e-03        6.6045668756e-03
    1.0208104060e+00	    9.7929316899e-01	    1.0246909087e+00	    1.0287210968e+00	    1.0016952614e+00	    7.0452512706e-03        7.0452512706e-03
    1.0221110560e+00	    9.7802815105e-01	    1.0262368134e+00	    1.0305314982e+00	    1.0018092900e+00	    7.4859868854e-03        7.4859868854e-03
    1.0234117060e+00	    9.7676647916e-01	    1.0277830135e+00	    1.0323436704e+00	    1.0019242019e+00	    7.9267737199e-03        7.9267737199e-03
    1.0247123560e+00	    9.7550813953e-01	    1.0293295206e+00	    1.0341576105e+00	    1.0020399970e+00	    8.3676117741e-03        8.3676117741e-03
    1.0260130060e+00	    9.7425311608e-01	    1.0308763229e+00	    1.0359733075e+00	    1.0021566552e+00	    8.8084976334e-03        8.8084976334e-03
    1.0273136560e+00	    9.7300139501e-01	    1.0324234263e+00	    1.0377907640e+00	    1.0022741715e+00	    9.2494381271e-03        9.2494381271e-03
    1.0286143080e+00	    9.7175296484e-01	    1.0339708193e+00	    1.0396099689e+00	    1.0023925407e+00	    9.6904298406e-03        9.6904298406e-03
    1.0299149580e+00	    9.7050780947e-01	    1.0355185075e+00	    1.0414309195e+00	    1.0025117478e+00	    1.0131472774e-02        1.0131472774e-02
    1.0312156080e+00	    9.6926591742e-01	    1.0370664853e+00	    1.0432536102e+00	    1.0026317877e+00	    1.0572566927e-02        1.0572566927e-02
    1.0325162580e+00	    9.6802727490e-01	    1.0386147469e+00	    1.0450780353e+00	    1.0027526453e+00	    1.1013715714e-02        1.1013715714e-02
    1.0338169080e+00	    9.6679186811e-01	    1.0401632921e+00	    1.0469041921e+00	    1.0028743205e+00	    1.1454919136e-02        1.1454919136e-02
    1.0351175580e+00	    9.6555968328e-01	    1.0417121154e+00	    1.0487320751e+00	    1.0029967983e+00	    1.1896173777e-02        1.1896173777e-02
    1.0364182100e+00	    9.6433070891e-01	    1.0432612223e+00	    1.0505616786e+00	    1.0031200735e+00	    1.2337486468e-02        1.2337486468e-02
    1.0377188600e+00	    9.6310492891e-01	    1.0448106072e+00	    1.0523929943e+00	    1.0032441361e+00	    1.2778850378e-02        1.2778850378e-02
    1.0390195100e+00	    9.6188233410e-01	    1.0463602643e+00	    1.0542260221e+00	    1.0033689760e+00	    1.3220268923e-02        1.3220268923e-02
    1.0403201600e+00	    9.6066290837e-01	    1.0479101877e+00	    1.0560607566e+00	    1.0034945881e+00	    1.3661742102e-02        1.3661742102e-02
    1.0416208100e+00	    9.5944664256e-01	    1.0494603891e+00	    1.0578971893e+00	    1.0036209623e+00	    1.4103273330e-02        1.4103273330e-02
    1.0429214600e+00	    9.5823351825e-01	    1.0510108510e+00	    1.0597353202e+00	    1.0037480937e+00	    1.4544859192e-02        1.4544859192e-02
    1.0442221120e+00	    9.5702352857e-01	    1.0525615793e+00	    1.0615751410e+00	    1.0038759670e+00	    1.4986499689e-02        1.4986499689e-02
    1.0455227620e+00	    9.5581665743e-01	    1.0541125682e+00	    1.0634166488e+00	    1.0040045823e+00	    1.5428198235e-02        1.5428198235e-02
