                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp
  0.381288650434E+00  0.905348613373E-07  0.189271238214E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.124485756512E+01  0.192778926191E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.834119909882E-01  0.163442587514E+01  0.000000000000E+00  0.000000000000E+00  0.222814903055E+03
  0.400390633533E+00  0.950173632391E-07  0.188407580016E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.129862252655E+01  0.206984013666E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.840701820606E-01  0.178923641127E+01  0.000000000000E+00  0.000000000000E+00  0.215935755751E+03
  0.419283022086E+00  0.992620208604E-07  0.187517971879E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.135301455447E+01  0.221965266604E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.845980486074E-01  0.195075220072E+01  0.000000000000E+00  0.000000000000E+00  0.209132089184E+03
  0.437946050299E+00  0.103235204992E-06  0.186603712088E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.140793121398E+01  0.237750794785E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.849882536907E-01  0.211926868368E+01  0.000000000000E+00  0.000000000000E+00  0.202411021556E+03
  0.456360994550E+00  0.106907038966E-06  0.185665993430E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.146328528141E+01  0.254372978053E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.852351378979E-01  0.229513126770E+01  0.000000000000E+00  0.000000000000E+00  0.195779295759E+03
  0.474510236295E+00  0.110251554241E-06  0.184705907525E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.151900340017E+01  0.271868524446E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.853346098072E-01  0.247873519700E+01  0.000000000000E+00  0.000000000000E+00  0.189243256712E+03
  0.492377315015E+00  0.113246734382E-06  0.183724448889E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.157502479795E+01  0.290278547765E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.852840395164E-01  0.267052628641E+01  0.000000000000E+00  0.000000000000E+00  0.182808832297E+03
  0.509946971031E+00  0.115874562286E-06  0.182722518609E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.163130007477E+01  0.309648669158E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.850821562147E-01  0.287100242175E+01  0.000000000000E+00  0.000000000000E+00  0.176481517945E+03
  0.527205178186E+00  0.118121161360E-06  0.181700927550E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.168779006652E+01  0.330029145004E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.847289505167E-01  0.308071576074E+01  0.000000000000E+00  0.000000000000E+00  0.170266364859E+03
  0.544139166533E+00  0.119976885874E-06  0.180660399116E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.174446478014E+01  0.351475023173E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.842255810327E-01  0.330027557049E+01  0.000000000000E+00  0.000000000000E+00  0.164167971845E+03
  0.560737435268E+00  0.121436269292E-06  0.179601571566E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.180130239477E+01  0.374046329080E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.835742845852E-01  0.353035166334E+01  0.000000000000E+00  0.000000000000E+00  0.158190480658E+03
  0.576989756281E+00  0.122497748443E-06  0.178524999925E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.185828832208E+01  0.397808282700E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.827782893315E-01  0.377167840920E+01  0.000000000000E+00  0.000000000000E+00  0.152337574722E+03
  0.592887168785E+00  0.123163422332E-06  0.177431157539E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.191541431814E+01  0.422831547658E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.818417300291E-01  0.402505932117E+01  0.000000000000E+00  0.000000000000E+00  0.146612481060E+03
  0.608421965580E+00  0.123438930876E-06  0.176320437306E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.197267763915E+01  0.449192513606E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.807695647605E-01  0.429137223004E+01  0.000000000000E+00  0.000000000000E+00  0.141017975246E+03
  0.623587671557E+00  0.123333239513E-06  0.175193152608E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.203008023379E+01  0.476973613256E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.795674925817E-01  0.457157507666E+01  0.000000000000E+00  0.000000000000E+00  0.135556389146E+03
  0.638379015133E+00  0.122858343345E-06  0.174049537986E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.208762796534E+01  0.506263675711E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.782418717168E-01  0.486671236600E+01  0.000000000000E+00  0.000000000000E+00  0.130229621199E+03
  0.652791893321E+00  0.122028924951E-06  0.172889749553E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.214532985670E+01  0.537158317982E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.767996381003E-01  0.517792234393E+01  0.000000000000E+00  0.000000000000E+00  0.125039149005E+03
  0.666823331172E+00  0.120861988445E-06  0.171713865167E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.220319735218E+01  0.569760376955E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.752482242429E-01  0.550644497258E+01  0.000000000000E+00  0.000000000000E+00  0.119986043924E+03
  0.680471436355E+00  0.119376486300E-06  0.170521884337E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.226124358931E+01  0.604180384393E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.735954785582E-01  0.585363079514E+01  0.000000000000E+00  0.000000000000E+00  0.115070987435E+03
  0.693735349609E+00  0.117592983515E-06  0.169313727874E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.231948267427E+01  0.640537087944E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.718495854368E-01  0.622095079830E+01  0.000000000000E+00  0.000000000000E+00  0.110294288983E+03
  0.706615191814E+00  0.115533373819E-06  0.168089237237E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.237792895389E+01  0.678958021530E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.700189864719E-01  0.661000739820E+01  0.000000000000E+00  0.000000000000E+00  0.105655905035E+03
  0.719112008396E+00  0.113220576709E-06  0.166848173549E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.243659627649E+01  0.719580128864E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.681123033377E-01  0.702254669429E+01  0.000000000000E+00  0.000000000000E+00  0.101155459105E+03
  0.731227711756E+00  0.110678187649E-06  0.165590216249E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.249549723334E+01  0.762550444288E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.661382628870E-01  0.746047215545E+01  0.000000000000E+00  0.000000000000E+00  0.967922624839E+02
  0.742965022361E+00  0.107930135848E-06  0.164314961305E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.255464237102E+01  0.808026835540E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.641056250679E-01  0.792585992675E+01  0.000000000000E+00  0.000000000000E+00  0.925653354583E+02
  0.754327409112E+00  0.105000384055E-06  0.163021918953E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.261403936398E+01  0.856178813461E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.620231142687E-01  0.842097597175E+01  0.000000000000E+00  0.000000000000E+00  0.884734287812E+02
  0.765319029543E+00  0.101912666595E-06  0.161710510863E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.267369213470E+01  0.907188414072E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.598993546807E-01  0.894829529241E+01  0.000000000000E+00  0.000000000000E+00  0.845150452113E+02
  0.775944670349E+00  0.986902626988E-07  0.160380066667E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.273359990722E+01  0.961251158792E+01  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.577428102259E-01  0.951052349959E+01  0.000000000000E+00  0.000000000000E+00  0.806884609278E+02
  0.786209688719E+00  0.953558023900E-07  0.159029819745E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.279375617709E+01  0.101857709885E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.555617295337E-01  0.101106210410E+02  0.000000000000E+00  0.000000000000E+00  0.769917466612E+02
  0.796119954844E+00  0.919311031436E-07  0.157658902154E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.285414757814E+01  0.107939195004E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.533640963757E-01  0.107518304290E+02  0.000000000000E+00  0.000000000000E+00  0.734227883941E+02
  0.805681795985E+00  0.884370351612E-07  0.156266338582E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.291475262323E+01  0.114393832386E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.511575858782E-01  0.114377068467E+02  0.000000000000E+00  0.000000000000E+00  0.699793075071E+02
  0.814901942364E+00  0.848934144068E-07  0.154851039169E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.297554029168E+01  0.121247706049E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.489495267415E-01  0.121721525472E+02  0.000000000000E+00  0.000000000000E+00  0.666588802625E+02
  0.823787475159E+00  0.813189241820E-07  0.153411791025E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.303646843144E+01  0.128528866786E+02  0.666666666667E-01  0.000000000000E+00  0.000000000000E+00  0.467468696003E-01  0.129594554887E+02  0.000000000000E+00  0.000000000000E+00  0.634589565346E+02
