                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2
  0.361997808141E+00  0.000000000000E+00  0.191007112150E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.940078767558E-01  0.931477801510E-01  0.484119141622E-01  0.000000000000E+00  0.000000000000E+00
  0.381288650434E+00  0.000000000000E+00  0.190258692897E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.937695855058E-01  0.929051723615E-01  0.509939120762E-01  0.000000000000E+00  0.000000000000E+00
  0.400390633533E+00  0.000000000000E+00  0.189477003305E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.934513031698E-01  0.925810740953E-01  0.535518617329E-01  0.000000000000E+00  0.000000000000E+00
  0.419283022086E+00  0.000000000000E+00  0.188663192261E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.930514925483E-01  0.921738750427E-01  0.560830320279E-01  0.000000000000E+00  0.000000000000E+00
  0.437946050299E+00  0.000000000000E+00  0.187818433857E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.925691522472E-01  0.916824964944E-01  0.585848274093E-01  0.000000000000E+00  0.000000000000E+00
  0.456360994550E+00  0.000000000000E+00  0.186943919290E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.920038015762E-01  0.911063750199E-01  0.610547987400E-01  0.000000000000E+00  0.000000000000E+00
  0.474510236295E+00  0.000000000000E+00  0.186040849125E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.913554623258E-01  0.904454430288E-01  0.634906528638E-01  0.000000000000E+00  0.000000000000E+00
  0.492377315015E+00  0.000000000000E+00  0.185110425919E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.906246376458E-01  0.897001064228E-01  0.658902608320E-01  0.000000000000E+00  0.000000000000E+00
  0.509946971031E+00  0.000000000000E+00  0.184153847225E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.898122882951E-01  0.888712195898E-01  0.682516647739E-01  0.000000000000E+00  0.000000000000E+00
  0.527205178186E+00  0.000000000000E+00  0.183172298953E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.889198065631E-01  0.879600580252E-01  0.705730834105E-01  0.000000000000E+00  0.000000000000E+00
  0.544139166533E+00  0.000000000000E+00  0.182166949114E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.879489881903E-01  0.869682888892E-01  0.728529162335E-01  0.000000000000E+00  0.000000000000E+00
  0.560737435268E+00  0.000000000000E+00  0.181138941910E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.869020026295E-01  0.858979398234E-01  0.750897463876E-01  0.000000000000E+00  0.000000000000E+00
  0.576989756281E+00  0.000000000000E+00  0.180089392176E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.857813619995E-01  0.847513663619E-01  0.772823423100E-01  0.000000000000E+00  0.000000000000E+00
  0.592887168785E+00  0.000000000000E+00  0.179019380159E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.845898890852E-01  0.835312182691E-01  0.794296581954E-01  0.000000000000E+00  0.000000000000E+00
  0.608421965580E+00  0.000000000000E+00  0.177929946599E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.833306847345E-01  0.822404051372E-01  0.815308333677E-01  0.000000000000E+00  0.000000000000E+00
  0.623587671557E+00  0.000000000000E+00  0.176822088096E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.820070949933E-01  0.808820615639E-01  0.835851906459E-01  0.000000000000E+00  0.000000000000E+00
  0.638379015133E+00  0.000000000000E+00  0.175696752728E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.806226783056E-01  0.794595122178E-01  0.855922338046E-01  0.000000000000E+00  0.000000000000E+00
  0.652791893321E+00  0.000000000000E+00  0.174554835884E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.791811730881E-01  0.779762370802E-01  0.875516442291E-01  0.000000000000E+00  0.000000000000E+00
  0.666823331172E+00  0.000000000000E+00  0.173397176256E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.776864659651E-01  0.764358371315E-01  0.894632768739E-01  0.000000000000E+00  0.000000000000E+00
  0.680471436355E+00  0.000000000000E+00  0.172224551956E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.761425609267E-01  0.748420007247E-01  0.913271556300E-01  0.000000000000E+00  0.000000000000E+00
  0.693735349609E+00  0.000000000000E+00  0.171037676677E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.745535496415E-01  0.731984708650E-01  0.931434682080E-01  0.000000000000E+00  0.000000000000E+00
  0.706615191814E+00  0.000000000000E+00  0.169837195849E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.729235831281E-01  0.715090135855E-01  0.949125606416E-01  0.000000000000E+00  0.000000000000E+00
  0.719112008396E+00  0.000000000000E+00  0.168623682691E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.712568449572E-01  0.697773875877E-01  0.966349315073E-01  0.000000000000E+00  0.000000000000E+00
  0.731227711756E+00  0.000000000000E+00  0.167397634084E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.695575261206E-01  0.680073152872E-01  0.983112259539E-01  0.000000000000E+00  0.000000000000E+00
  0.742965022361E+00  0.000000000000E+00  0.166159466140E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.678298016753E-01  0.662024553891E-01  0.999422296205E-01  0.000000000000E+00  0.000000000000E+00
  0.754327409112E+00  0.000000000000E+00  0.164909509369E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.660778092326E-01  0.643663771010E-01  0.101528862510E+00  0.000000000000E+00  0.000000000000E+00
  0.765319029543E+00  0.000000000000E+00  0.163648003274E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.643056293311E-01  0.625025360860E-01  0.103072172871E+00  0.000000000000E+00  0.000000000000E+00
  0.775944670349E+00  0.000000000000E+00  0.162375090223E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.625172677025E-01  0.606142522621E-01  0.104573331110E+00  0.000000000000E+00  0.000000000000E+00
  0.786209688719E+00  0.000000000000E+00  0.161090808390E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.607166394044E-01  0.587046895740E-01  0.106033623741E+00  0.000000000000E+00  0.000000000000E+00
  0.796119954844E+00  0.000000000000E+00  0.159795083540E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.589075547699E-01  0.567768378993E-01  0.107454447329E+00  0.000000000000E+00  0.000000000000E+00
  0.805681795985E+00  0.000000000000E+00  0.158487719355E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.570937070946E-01  0.548334973140E-01  0.108837302339E+00  0.000000000000E+00  0.000000000000E+00
  0.814901942364E+00  0.000000000000E+00  0.157168385989E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.552786619602E-01  0.528772650351E-01  0.110183786746E+00  0.000000000000E+00  0.000000000000E+00
  0.823787475159E+00  0.000000000000E+00  0.155836606416E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.534658480737E-01  0.509105254869E-01  0.111495589160E+00  0.000000000000E+00  0.000000000000E+00
  0.832345776773E+00  0.000000000000E+00  0.154491740093E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.516585494853E-01  0.489354441152E-01  0.112774481138E+00  0.000000000000E+00  0.000000000000E+00
  0.840584483568E+00  0.000000000000E+00  0.153132963327E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.498598990363E-01  0.469539658074E-01  0.114022308161E+00  0.000000000000E+00  0.000000000000E+00
  0.848511441146E+00  0.000000000000E+00  0.151759245606E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.480728728839E-01  0.449678190703E-01  0.115240978627E+00  0.000000000000E+00  0.000000000000E+00
  0.856134662290E+00  0.000000000000E+00  0.150369320994E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.463002859467E-01  0.429785274867E-01  0.116432449894E+00  0.000000000000E+00  0.000000000000E+00
  0.863462287581E+00  0.000000000000E+00  0.148961653480E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.445447881185E-01  0.409874304074E-01  0.117598710134E+00  0.000000000000E+00  0.000000000000E+00
  0.870502548731E+00  0.000000000000E+00  0.147534394922E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.428088611107E-01  0.389957153371E-01  0.118741754302E+00  0.000000000000E+00  0.000000000000E+00
  0.877263734600E+00  0.000000000000E+00  0.146085333914E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.410948157950E-01  0.370044650048E-01  0.119863552023E+00  0.000000000000E+00  0.000000000000E+00
  0.883754159883E+00  0.000000000000E+00  0.144611833536E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.394047899441E-01  0.350147226242E-01  0.120966004494E+00  0.000000000000E+00  0.000000000000E+00
  0.889982136389E+00  0.000000000000E+00  0.143110755476E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.377407462901E-01  0.330275792442E-01  0.122050886702E+00  0.000000000000E+00  0.000000000000E+00
  0.895955946863E+00  0.000000000000E+00  0.141578367485E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.361044708603E-01  0.310442871997E-01  0.123119770231E+00  0.000000000000E+00  0.000000000000E+00
  0.901683821253E+00  0.000000000000E+00  0.140010230495E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.344975715845E-01  0.290664032674E-01  0.124173920821E+00  0.000000000000E+00  0.000000000000E+00
