                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2
  0.938276419291E-01  0.000000000000E+00  0.156730366960E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.527717360444E+01  0.395176372016E+02  0.796091728786E+00  0.000000000000E+00  0.000000000000E+00  0.233886018392E-01  0.426186509586E+02  0.000000000000E+00  0.000000000000E+00
  0.104602787056E+00  0.000000000000E+00  0.161009271517E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.509183004853E+01  0.351388495948E+02  0.845842562780E+00  0.000000000000E+00  0.000000000000E+00  0.269653724080E-01  0.371606375919E+02  0.000000000000E+00  0.000000000000E+00
  0.116322896505E+00  0.000000000000E+00  0.165068604155E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.490351795572E+01  0.312245415736E+02  0.891589796072E+00  0.000000000000E+00  0.000000000000E+00  0.308040002946E-01  0.324609994443E+02  0.000000000000E+00  0.000000000000E+00
  0.129056782450E+00  0.000000000000E+00  0.168936147038E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.471442624023E+01  0.277351594434E+02  0.932964870718E+00  0.000000000000E+00  0.000000000000E+00  0.348894094656E-01  0.284102473331E+02  0.000000000000E+00  0.000000000000E+00
  0.142875559195E+00  0.000000000000E+00  0.172635288297E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.452597024623E+01  0.246289964711E+02  0.969656744600E+00  0.000000000000E+00  0.000000000000E+00  0.392024297828E-01  0.249108228836E+02  0.000000000000E+00  0.000000000000E+00
  0.157852162146E+00  0.000000000000E+00  0.176185535808E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.433901362958E+01  0.218652305785E+02  0.100142948454E+01  0.000000000000E+00  0.000000000000E+00  0.437207059508E-01  0.218781605559E+02  0.000000000000E+00  0.000000000000E+00
  0.174060737817E+00  0.000000000000E+00  0.179602958043E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.415403211457E+01  0.194055548575E+02  0.102810376602E+01  0.000000000000E+00  0.000000000000E+00  0.484184012826E-01  0.192399672633E+02  0.000000000000E+00  0.000000000000E+00
  0.191575891342E+00  0.000000000000E+00  0.182900578637E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.397123384646E+01  0.172149303365E+02  0.104955069346E+01  0.000000000000E+00  0.000000000000E+00  0.532663833670E-01  0.169351985201E+02  0.000000000000E+00  0.000000000000E+00
  0.210471779637E+00  0.000000000000E+00  0.186088689079E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.379064945385E+01  0.152618340700E+02  0.106569304264E+01  0.000000000000E+00  0.000000000000E+00  0.582329149615E-01  0.149125794263E+02  0.000000000000E+00  0.000000000000E+00
  0.230821040999E+00  0.000000000000E+00  0.189175072386E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.361220204195E+01  0.135182311334E+02  0.107651122492E+01  0.000000000000E+00  0.000000000000E+00  0.632849076831E-01  0.131291093616E+02  0.000000000000E+00  0.000000000000E+00
  0.252693555874E+00  0.000000000000E+00  0.192165141822E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.343576487904E+01  0.119594079841E+02  0.108205240188E+01  0.000000000000E+00  0.000000000000E+00  0.683898110896E-01  0.115487232484E+02  0.000000000000E+00  0.000000000000E+00
  0.276155038851E+00  0.000000000000E+00  0.195062003385E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.326121265540E+01  0.105637482539E+02  0.108244169915E+01  0.000000000000E+00  0.000000000000E+00  0.735182051786E-01  0.101411645560E+02  0.000000000000E+00  0.000000000000E+00
  0.301265468803E+00  0.000000000000E+00  0.197866454052E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.308847071446E+01  0.931249709707E+01  0.107789459472E+01  0.000000000000E+00  0.000000000000E+00  0.786471339725E-01  0.888107595046E+01  0.000000000000E+00  0.000000000000E+00
  0.328077372513E+00  0.000000000000E+00  0.200576932596E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.291756529486E+01  0.818953788567E+01  0.106872936904E+01  0.000000000000E+00  0.000000000000E+00  0.837641489572E-01  0.774729490102E+01  0.000000000000E+00  0.000000000000E+00
  0.356633986980E+00  0.000000000000E+00  0.203189448064E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.274867622247E+01  0.718118957700E+01  0.105537801481E+01  0.000000000000E+00  0.000000000000E+00  0.888719027413E-01  0.672233506880E+01  0.000000000000E+00  0.000000000000E+00
  0.386967336686E+00  0.000000000000E+00  0.205697524265E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.258219125038E+01  0.627602082759E+01  0.103839321287E+01  0.000000000000E+00  0.000000000000E+00  0.939929151523E-01  0.579202971491E+01  0.000000000000E+00  0.000000000000E+00
  0.419096273930E+00  0.000000000000E+00  0.208092216886E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.241875799463E+01  0.546466597341E+01  0.101844795138E+01  0.000000000000E+00  0.000000000000E+00  0.991737887960E-01  0.494530399221E+01  0.000000000000E+00  0.000000000000E+00
  0.453024542346E+00  0.000000000000E+00  0.210362280912E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.225932505390E+01  0.473961835349E+01  0.996323341810E+00  0.000000000000E+00  0.000000000000E+00  0.104487647084E+00  0.417402444581E+01  0.000000000000E+00  0.000000000000E+00
  0.488738934907E+00  0.000000000000E+00  0.212494581799E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.210515904657E+01  0.409497067019E+01  0.972879733173E+00  0.000000000000E+00  0.000000000000E+00  0.110032911950E+00  0.347284626528E+01  0.000000000000E+00  0.000000000000E+00
  0.526207627229E+00  0.000000000000E+00  0.214474839333E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.195782085707E+01  0.352607549250E+01  0.949007298101E+00  0.000000000000E+00  0.000000000000E+00  0.115925842671E+00  0.283895078901E+01  0.000000000000E+00  0.000000000000E+00
  0.565378773482E+00  0.000000000000E+00  0.216288746884E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.181908579448E+01  0.302911812764E+01  0.925555957711E+00  0.000000000000E+00  0.000000000000E+00  0.122283831501E+00  0.227155963973E+01  0.000000000000E+00  0.000000000000E+00
  0.606179454609E+00  0.000000000000E+00  0.217923404544E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.169080251468E+01  0.260063149875E+01  0.903251226319E+00  0.000000000000E+00  0.000000000000E+00  0.129196875199E+00  0.177115804822E+01  0.000000000000E+00  0.000000000000E+00
  0.648515065699E+00  0.000000000000E+00  0.219368852589E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.157470557736E+01  0.223702943687E+01  0.882610686101E+00  0.000000000000E+00  0.000000000000E+00  0.136686680747E+00  0.133847427092E+01  0.000000000000E+00  0.000000000000E+00
  0.692269220412E+00  0.000000000000E+00  0.220619349024E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.147222069614E+01  0.193426711289E+01  0.863881050320E+00  0.000000000000E+00  0.000000000000E+00  0.144657079653E+00  0.973413509576E+00  0.000000000000E+00  0.000000000000E+00
  0.737304234913E+00  0.000000000000E+00  0.221673994108E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.138431706285E+01  0.168772719463E+01  0.847012920298E+00  0.000000000000E+00  0.000000000000E+00  0.152845449525E+00  0.674248888819E+00  0.000000000000E+00  0.000000000000E+00
  0.783462231963E+00  0.000000000000E+00  0.222536431848E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.131145469670E+01  0.149236962437E+01  0.831677617904E+00  0.000000000000E+00  0.000000000000E+00  0.160790688058E+00  0.437342400179E+00  0.000000000000E+00  0.000000000000E+00
  0.830566878442E+00  0.000000000000E+00  0.223213619458E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.125364572883E+01  0.134309966615E+01  0.817312802695E+00  0.000000000000E+00  0.000000000000E+00  0.167835435573E+00  0.257497791097E+00  0.000000000000E+00  0.000000000000E+00
  0.878425738174E+00  0.000000000000E+00  0.223713914430E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.121061213662E+01  0.123525174975E+01  0.803169791045E+00  0.000000000000E+00  0.000000000000E+00  0.173175089684E+00  0.128853667481E+00  0.000000000000E+00  0.000000000000E+00
  0.926833188570E+00  0.000000000000E+00  0.224044909405E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.118199317887E+01  0.116507241574E+01  0.787995452583E+00  0.000000000000E+00  0.000000000000E+00  0.175878975589E+00  0.457977225434E-01  0.000000000000E+00  0.000000000000E+00
  0.975573816941E+00  0.000000000000E+00  0.224210203811E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.116765835675E+01  0.113038403974E+01  0.778438904501E+00  0.000000000000E+00  0.000000000000E+00  0.176905968682E+00  0.506376105406E-02  0.000000000000E+00  0.000000000000E+00
