                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2
  0.938276419291E-01  0.000000000000E+00  0.134202126068E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.258137449140E+01  0.000000000000E+00  0.000000000000E+00  0.118254473829E+03  0.000000000000E+00  0.218289797764E-01  0.296519786014E+02  0.999996975664E+00  0.999999997971E+00
  0.104602787056E+00  0.000000000000E+00  0.137912493088E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.258897895213E+01  0.000000000000E+00  0.000000000000E+00  0.103747936654E+03  0.000000000000E+00  0.249545105319E-01  0.260552614516E+02  0.999999199193E+00  0.999999999255E+00
  0.116322896505E+00  0.000000000000E+00  0.141460034578E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.258660985333E+01  0.000000000000E+00  0.000000000000E+00  0.914325111291E+02  0.000000000000E+00  0.282898265252E-01  0.229229220380E+02  0.999999760750E+00  0.999999999689E+00
  0.129056782450E+00  0.000000000000E+00  0.144863488958E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.257531170752E+01  0.000000000000E+00  0.000000000000E+00  0.809043633932E+02  0.000000000000E+00  0.318315554845E-01  0.201884425504E+02  0.999999918038E+00  0.999999999853E+00
  0.142875559195E+00  0.000000000000E+00  0.148137936346E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.255588261024E+01  0.000000000000E+00  0.000000000000E+00  0.718466599935E+02  0.000000000000E+00  0.355741329481E-01  0.177944504010E+02  0.999999967471E+00  0.999999999921E+00
  0.157852162146E+00  0.000000000000E+00  0.151295425115E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.252893617447E+01  0.000000000000E+00  0.000000000000E+00  0.640082573941E+02  0.000000000000E+00  0.395095305066E-01  0.156920527971E+02  0.999999984970E+00  0.999999999953E+00
  0.174060737817E+00  0.000000000000E+00  0.154345447933E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.249494970875E+01  0.000000000000E+00  0.000000000000E+00  0.571881625377E+02  0.000000000000E+00  0.436270308608E-01  0.138398371095E+02  0.999999991917E+00  0.999999999968E+00
  0.191575891342E+00  0.000000000000E+00  0.157295303640E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.245430275068E+01  0.000000000000E+00  0.000000000000E+00  0.512240805113E+02  0.000000000000E+00  0.479130664479E-01  0.122028207489E+02  0.999999994963E+00  0.999999999977E+00
  0.210471779637E+00  0.000000000000E+00  0.160150372303E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.240730902114E+01  0.000000000000E+00  0.000000000000E+00  0.459838893313E+02  0.000000000000E+00  0.523511403267E-01  0.107514743469E+02  0.999999996394E+00  0.999999999981E+00
  0.230821040999E+00  0.000000000000E+00  0.162914324288E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.235424408265E+01  0.000000000000E+00  0.000000000000E+00  0.413592351190E+02  0.000000000000E+00  0.569218482229E-01  0.946086399210E+01  0.999999997069E+00  0.999999999983E+00
  0.252693555874E+00  0.000000000000E+00  0.165589279612E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.229537040320E+01  0.000000000000E+00  0.000000000000E+00  0.372606809130E+02  0.000000000000E+00  0.616030187248E-01  0.830992122399E+01  0.999999997333E+00  0.999999999984E+00
  0.276155038851E+00  0.000000000000E+00  0.168175930748E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.223096107569E+01  0.000000000000E+00  0.000000000000E+00  0.336140068588E+02  0.000000000000E+00  0.663699839535E-01  0.728083295115E+01  0.999999997329E+00  0.999999999984E+00
  0.301265468803E+00  0.000000000000E+00  0.170673640020E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.216132306306E+01  0.000000000000E+00  0.000000000000E+00  0.303573731902E+02  0.000000000000E+00  0.711959848766E-01  0.635853704949E+01  0.999999997106E+00  0.999999999984E+00
  0.328077372513E+00  0.000000000000E+00  0.173080521557E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.208682047682E+01  0.000000000000E+00  0.000000000000E+00  0.274391364305E+02  0.000000000000E+00  0.760527030761E-01  0.553030779328E+01  0.999999996670E+00  0.999999999982E+00
  0.356633986980E+00  0.000000000000E+00  0.175393517204E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.200789800663E+01  0.000000000000E+00  0.695328832306-309  0.248161642478E+02  0.000000000000E+00  0.809108935884E-01  0.478541578643E+01  0.999999996006E+00  0.999999999980E+00
  0.386967336686E+00  0.000000000000E+00  0.177608475560E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.192510416118E+01  0.000000000000E+00  0.689955213879-309  0.224525324405E+02  0.000000000000E+00  0.857410710200E-01  0.411484833982E+01  0.999999995089E+00  0.999999999977E+00
  0.419096273930E+00  0.000000000000E+00  0.179720243329E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.183911343208E+01  0.000000000000E+00  0.000000000000E+00  0.203185134074E+02  0.000000000000E+00  0.905141735449E-01  0.351107764176E+01  0.999999993905E+00  0.999999999974E+00
  0.453024542346E+00  0.000000000000E+00  0.181722777991E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.175074585237E+01  0.000000000000E+00  0.951476363791-316  0.183897825183E+02  0.000000000000E+00  0.952020974979E-01  0.296786533020E+01  0.999999992459E+00  0.999999999970E+00
  0.488738934907E+00  0.000000000000E+00  0.183609290187E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.166098173224E+01  0.000000000000E+00  0.689955212929-309  0.166467797194E+02  0.000000000000E+00  0.997779615871E-01  0.248009316652E+01  0.999999990769E+00  0.999999999965E+00
  0.526207627229E+00  0.000000000000E+00  0.185372422644E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.157096872071E+01  0.000000000000E+00  0.000000000000E+00  0.150741708687E+02  0.000000000000E+00  0.104215929937E+00  0.204361055900E+01  0.999999988833E+00  0.999999999961E+00
  0.565378773482E+00  0.000000000000E+00  0.187004469413E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.148201794799E+01  0.000000000000E+00  0.689955212959-309  0.136603592683E+02  0.000000000000E+00  0.108490408822E+00  0.165509100804E+01  0.999999959833E+00  0.999999999956E+00
  0.606179454609E+00  0.000000000000E+00  0.188497634124E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.139558611872E+01  0.000000000000E+00  0.000000000000E+00  0.123970061406E+02  0.000000000000E+00  0.112574448690E+00  0.131189135702E+01  0.999997848597E+00  0.999999999950E+00
  0.648515065699E+00  0.000000000000E+00  0.189844318420E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.131324130914E+01  0.000000000000E+00  0.689955213222-309  0.112785292034E+02  0.000000000000E+00  0.116437285193E+00  0.101191046029E+01  0.999988435741E+00  0.999999999941E+00
  0.692269220412E+00  0.000000000000E+00  0.191037421347E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.123661193270E+01  0.000000000000E+00  0.000000000000E+00  0.103015557660E+02  0.000000000000E+00  0.120041280406E+00  0.753450379900E+00  0.999993026963E+00  0.999999999926E+00
