                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2                  yp              alphat                 prt                  kt                epst                 pkt
  0.121773853752E+00  0.000000000000E+00  0.103388075109E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.864584208705E+00  0.000000000000E+00  0.000000000000E+00  0.244201467954E+02  0.000000000000E+00  0.114208212660E+00  0.494935505747E+00  0.916302513406E+00  0.999910063212E+00  0.136161412649E+03  0.126898014074E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.131746651935E+00  0.000000000000E+00  0.103171347522E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.873998699455E+00  0.000000000000E+00  0.000000000000E+00  0.248266484925E+02  0.000000000000E+00  0.113561467802E+00  0.582454935737E+00  0.931080804118E+00  0.999934546487E+00  0.132571205303E+03  0.126179408682E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.141694834659E+00  0.000000000000E+00  0.102936779559E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.884085491705E+00  0.000000000000E+00  0.000000000000E+00  0.252753673949E+02  0.000000000000E+00  0.112832729130E+00  0.677874715683E+00  0.943717915524E+00  0.999952423084E+00  0.128989859523E+03  0.125369699058E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.151606122287E+00  0.000000000000E+00  0.102684426814E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.894813716551E+00  0.000000000000E+00  0.000000000000E+00  0.257677730892E+02  0.000000000000E+00  0.112019608751E+00  0.781380841330E+00  0.954394924174E+00  0.999965437201E+00  0.125421795977E+03  0.124466231994E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.161468417757E+00  0.000000000000E+00  0.102414381701E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.906149083295E+00  0.000000000000E+00  0.000000000000E+00  0.263053759683E+02  0.000000000000E+00  0.111120311017E+00  0.893171795717E+00  0.963314673795E+00  0.999974890695E+00  0.121871369608E+03  0.123467012332E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.171269864867E+00  0.000000000000E+00  0.102126770816E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.918054345044E+00  0.000000000000E+00  0.000000000000E+00  0.268897554881E+02  0.000000000000E+00  0.110133602014E+00  0.101346098695E+01  0.970688271151E+00  0.999981747464E+00  0.118342848648E+03  0.122370669077E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.180998904071E+00  0.000000000000E+00  0.101821752076E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.930489757631E+00  0.000000000000E+00  0.000000000000E+00  0.275225883314E+02  0.000000000000E+00  0.109058778454E+00  0.114247937393E+01  0.976724224377E+00  0.999986716453E+00  0.114840394535E+03  0.121176420829E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.190644325217E+00  0.000000000000E+00  0.101499511662E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.943413522319E+00  0.000000000000E+00  0.000000000000E+00  0.282056755959E+02  0.000000000000E+00  0.107895640240E+00  0.128047828011E+01  0.981620425926E+00  0.999990316305E+00  0.111368042922E+03  0.119884045315E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.200195316767E+00  0.000000000000E+00  0.101160260783E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.956782205896E+00  0.000000000000E+00  0.000000000000E+00  0.289409685704E+02  0.000000000000E+00  0.106644468552E+00  0.142773238130E+01  0.985558813890E+00  0.999992924832E+00  0.107929685964E+03  0.118493855061E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.209641511043E+00  0.000000000000E+00  0.100804232296E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.970551134072E+00  0.000000000000E+00  0.000000000000E+00  0.297305930374E+02  0.000000000000E+00  0.105306009401E+00  0.158454284714E+01  0.988702330998E+00  0.999994816350E+00  0.104529056025E+03  0.117006679154E+00  0.899852934466E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
